PMID,Title,Journal,Publication Date,DOI,PMC ID,Free Text Availability
17461791,The transcription factor HIG1/MYB51 regulates indolic glucosinolate biosynthesis in Arabidopsis thaliana.,The Plant journal : for cell and molecular biology,"{'Year': '2007', 'Month': 'Jun'}",10.1111/j.1365-313X.2007.03099.x,,Likely no free text
19148671,Biotic and abiotic stress down-regulate miR398 expression in Arabidopsis.,Planta,"{'Year': '2009', 'Month': 'Mar'}",10.1007/s00425-009-0889-3,,Likely no free text
21053011,Betaine aldehyde dehydrogenase genes from Arabidopsis with different sub-cellular localization affect stress responses.,Planta,"{'Year': '2011', 'Month': 'Feb'}",10.1007/s00425-010-1297-4,,Likely no free text
21908688,In-depth temporal transcriptome profiling reveals a crucial developmental switch with roles for RNA processing and organelle metabolism that are essential for germination in Arabidopsis.,Plant physiology,"{'Year': '2011', 'Month': 'Nov'}",10.1104/pp.111.183129,PMC3252162,Likely Freely Available
22060106,A PORR domain protein required for rpl2 and ccmF(C) intron splicing and for the biogenesis of c-type cytochromes in Arabidopsis mitochondria.,The Plant journal : for cell and molecular biology,"{'Year': '2012', 'Month': 'Mar'}",10.1111/j.1365-313X.2011.04849.x,,Likely no free text
23118188,Chloroplast biogenesis is regulated by direct action of the ubiquitin-proteasome system.,"Science (New York, N.Y.)","{'Year': '2012', 'Month': 'Nov', 'Day': '02'}",10.1126/science.1225053,,Likely no free text
23372012,Uncovering the protein translocon at the chloroplast inner envelope membrane.,"Science (New York, N.Y.)","{'Year': '2013', 'Month': 'Feb', 'Day': '01'}",10.1126/science.1229262,,Likely no free text
23620482,The plant s1-like nuclease family has evolved a highly diverse range of catalytic capabilities.,Plant & cell physiology,"{'Year': '2013', 'Month': 'Jul'}",10.1093/pcp/pct061,,Likely no free text
23827697,Structural and functional differences of cytosolic 90-kDa heat-shock proteins (Hsp90s) in Arabidopsis thaliana.,Plant physiology and biochemistry : PPB,"{'Year': '2013', 'Month': 'Sep'}",10.1016/j.plaphy.2013.05.039,,Likely no free text
23952652,Involvement of the glutamate receptor AtGLR3.3 in plant defense signaling and resistance to Hyaloperonospora arabidopsidis.,The Plant journal : for cell and molecular biology,"{'Year': '2013', 'Month': 'Nov'}",10.1111/tpj.12311,,Likely no free text
24451981,MED18 interaction with distinct transcription factors regulates multiple plant functions.,Nature communications,{'Year': '2014'},10.1038/ncomms4064,,Likely no free text
25628629,Involvement of Phosphatidylinositol 3-kinase in the regulation of proline catabolism in Arabidopsis thaliana.,Frontiers in plant science,{'Year': '2014'},10.3389/fpls.2014.00772,PMC4290513,Likely Freely Available
26031782,A nuclear-encoded chloroplast-targeted S1 RNA-binding domain protein affects chloroplast rRNA processing and is crucial for the normal growth of Arabidopsis thaliana.,The Plant journal : for cell and molecular biology,"{'Year': '2015', 'Month': 'Jul'}",10.1111/tpj.12889,,Likely no free text
27443795,"A WD40 protein, AtGHS40, negatively modulates abscisic acid degrading and signaling genes during seedling growth under high glucose conditions.",Journal of plant research,"{'Year': '2016', 'Month': 'Nov'}",10.1007/s10265-016-0849-5,,Likely no free text
27744298,Two Chloroplast Proteins Suppress Drought Resistance by Affecting ROS Production in Guard Cells.,Plant physiology,"{'Year': '2016', 'Month': 'Dec'}",10.1104/pp.16.00889,PMC5129706,Likely Freely Available
28684426,Arabidopsis ATRX Modulates H3.3 Occupancy and Fine-Tunes Gene Expression.,The Plant cell,"{'Year': '2017', 'Month': 'Jul'}",10.1105/tpc.16.00877,PMC5559740,Likely Freely Available
31491807,"Arabidopsis OTU1, a linkage-specific deubiquitinase, is required for endoplasmic reticulum-associated protein degradation.",The Plant journal : for cell and molecular biology,"{'Year': '2020', 'Month': 'Jan'}",10.1111/tpj.14524,,Likely no free text
36578335,Analysis of BRCT5 domain-containing proteins reveals a new component of DNA damage repair in Arabidopsis.,Frontiers in plant science,{'Year': '2022'},10.3389/fpls.2022.1023358,PMC9791218,Likely Freely Available
37278489,The Arabidopsis DNA glycosylase MBD4L repairs the nuclear genome in vivo.,The Plant journal : for cell and molecular biology,"{'Year': '2023', 'Month': 'Sep'}",10.1111/tpj.16344,,Likely no free text
38503963,Uncovering the photosystem I assembly pathway in land plants.,Nature plants,"{'Year': '2024', 'Month': 'Apr'}",10.1038/s41477-024-01658-3,,Likely no free text
8710949,"CAX1, an H+/Ca2+ antiporter from Arabidopsis.",Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '1996', 'Month': 'Aug', 'Day': '06'}",10.1073/pnas.93.16.8782,PMC38751,Likely Freely Available
8798688,Cloning and functional analysis of the beta-carotene hydroxylase of Arabidopsis thaliana.,The Journal of biological chemistry,"{'Year': '1996', 'Month': 'Oct', 'Day': '04'}",10.1074/jbc.271.40.24349,,Likely no free text
9212464,The Arabidopsis downy mildew resistance gene RPP5 shares similarity to the toll and interleukin-1 receptors with N and L6.,The Plant cell,"{'Year': '1997', 'Month': 'Jun'}",10.1105/tpc.9.6.879,PMC156965,Likely Freely Available
9297846,The RHG gene is involved in root and hypocotyl gravitropism in Arabidopsis thaliana.,Plant & cell physiology,"{'Year': '1997', 'Month': 'Jul'}",10.1093/oxfordjournals.pcp.a029238,,Likely no free text
9951729,Clp protease complexes and their diversity in chloroplasts.,Planta,"{'Year': '1998', 'Month': 'Dec'}",10.1007/s004250050485,,Likely no free text
34715025,De novo identification of mammalian ciliary motility proteins using cryo-EM.,Cell,"{'Year': '2021', 'Month': 'Nov', 'Day': '11'}",10.1016/j.cell.2021.10.007,PMC8595878,Likely Freely Available
11504382,"Effect of suckling on the release of oxytocin, prolactin, cortisol, gastrin, cholecystokinin, somatostatin and insulin in dairy cows and their calves.",The Journal of dairy research,"{'Year': '2001', 'Month': 'May'}",10.1017/s0022029901004721,,Likely no free text
2185644,Somatotropin in lactating cows: effect on response to epinephrine and insulin.,The American journal of physiology,"{'Year': '1990', 'Month': 'Apr'}",10.1152/ajpendo.1990.258.4.E582,,Likely no free text
1600245,Cartilage matrix protein is a component of the collagen fibril of cartilage.,Developmental dynamics : an official publication of the American Association of Anatomists,"{'Year': '1992', 'Month': 'Mar'}",10.1002/aja.1001930307,,Likely no free text
18704537,Effect of CLA and other C18 unsaturated fatty acids on DGAT in bovine milk fat biosynthetic systems.,Lipids,"{'Year': '2008', 'Month': 'Oct'}",10.1007/s11745-008-3216-z,,Likely no free text
17978182,"JY-1, an oocyte-specific gene, regulates granulosa cell function and early embryonic development in cattle.",Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2007', 'Month': 'Nov', 'Day': '06'}",10.1073/pnas.0706383104,PMC2077078,Likely Freely Available
16336125,Trypsin inhibition by macrocyclic and open-chain variants of the squash inhibitor MCoTI-II.,Biological chemistry,"{'Year': '2005', 'Month': 'Dec'}",10.1515/BC.2005.148,,Likely no free text
7397110,Radiolabeling of natural adenosine triphosphatase inhibitor with phenyl (14C)isothiocyanate and study of its interaction with mitochondrial adenosine triphosphatase. Localization of inhibitor binding sites and stoichiometry of binding.,Biochemistry,"{'Year': '1980', 'Month': 'Jun', 'Day': '24'}",10.1021/bi00554a016,,Likely no free text
17510399,Angiostatin-like activity of a monoclonal antibody to the catalytic subunit of F1F0 ATP synthase.,Cancer research,"{'Year': '2007', 'Month': 'May', 'Day': '15'}",10.1158/0008-5472.CAN-06-1094,,Likely no free text
17876790,The collagen family members as cell adhesion proteins.,"BioEssays : news and reviews in molecular, cellular and developmental biology","{'Year': '2007', 'Month': 'Oct'}",10.1002/bies.20636,,Likely no free text
31470122,Cellular substrates and pro-apoptotic function of the human HtrA4 protease.,Journal of proteomics,"{'Year': '2019', 'Month': 'Oct', 'Day': '30'}",10.1016/j.jprot.2019.103505,,Likely no free text
27458239,Structural role of the T94I rhodopsin mutation in congenital stationary night blindness.,EMBO reports,"{'Year': '2016', 'Month': 'Oct'}",10.15252/embr.201642671,PMC5048376,Likely Freely Available
23604253,Crystal structure of pre-activated arrestin p44.,Nature,"{'Year': '2013', 'Month': 'May', 'Day': '02'}",10.1038/nature12133,,Likely no free text
25209663,Architecture of mammalian respiratory complex I.,Nature,"{'Year': '2014', 'Month': 'Nov', 'Day': '06'}",10.1038/nature13686,PMC4224586,Likely Freely Available
8747329,"Distribution of annexins I, II, and IV in bovine mammary gland.",Journal of dairy science,"{'Year': '1995', 'Month': 'Nov'}",10.3168/jds.S0022-0302(95)76866-7,,Likely no free text
8900209,Protein kinase C alters the responsiveness of adenylyl cyclases to G protein alpha and betagamma subunits.,The Journal of biological chemistry,"{'Year': '1996', 'Month': 'Oct', 'Day': '25'}",10.1074/jbc.271.43.27161,,Likely no free text
11584008,"Localization of three types of the inositol 1,4,5-trisphosphate receptor/Ca(2+) channel in the secretory granules and coupling with the Ca(2+) storage proteins chromogranins A and B.",The Journal of biological chemistry,"{'Year': '2001', 'Month': 'Dec', 'Day': '07'}",10.1074/jbc.M107532200,,Likely no free text
3068266,Effect of bovine somatotropin on the distribution of immunoreactive insulin-like growth factor-I in lactating bovine mammary tissue.,Journal of dairy science,"{'Year': '1988', 'Month': 'Nov'}",10.3168/jds.S0022-0302(88)79890-2,,Likely no free text
2933134,Trypsin digestion of bovine cardiac troponin C in the presence and absence of calcium.,Canadian journal of biochemistry and cell biology = Revue canadienne de biochimie et biologie cellulaire,"{'Year': '1985', 'Month': 'Aug'}",10.1139/o85-103,,Likely no free text
19955438,Itk tyrosine kinase substrate docking is mediated by a nonclassical SH2 domain surface of PLCgamma1.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2009', 'Month': 'Dec', 'Day': '15'}",10.1073/pnas.0911309106,PMC2786894,Likely Freely Available
2006162,An angiogenin-binding protein from endothelial cells.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '1991', 'Month': 'Mar', 'Day': '15'}",10.1073/pnas.88.6.2227,PMC51203,Likely Freely Available
9188470,Endothelial cell heparanase modulation of lipoprotein lipase activity. Evidence that heparan sulfate oligosaccharide is an extracellular chaperone.,The Journal of biological chemistry,"{'Year': '1997', 'Month': 'Jun', 'Day': '20'}",10.1074/jbc.272.25.15753,,Likely no free text
16179346,Calcium triggers folding of lipoprotein lipase into active dimers.,The Journal of biological chemistry,"{'Year': '2005', 'Month': 'Dec', 'Day': '30'}",10.1074/jbc.M507252200,,Likely no free text
7568196,Molecular cloning and characterization of a calmodulin-dependent phosphodiesterase enriched in olfactory sensory neurons.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '1995', 'Month': 'Oct', 'Day': '10'}",10.1073/pnas.92.21.9677,PMC40865,Likely Freely Available
1334546,Purification and characterization of cytosolic aconitase from beef liver and its relationship to the iron-responsive element binding protein.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '1992', 'Month': 'Dec', 'Day': '15'}",10.1073/pnas.89.24.11730,PMC50630,Likely Freely Available
8987743,Trafficking of cell-surface beta-amyloid precursor protein: evidence that a sorting intermediate participates in synaptic vesicle recycling.,The Journal of neuroscience : the official journal of the Society for Neuroscience,"{'Year': '1997', 'Month': 'Jan', 'Day': '01'}",10.1523/JNEUROSCI.17-01-00140.1997,PMC6793693,Likely Freely Available
10068665,A novel spliced form of SH2-containing inositol phosphatase is expressed during myeloid development.,Blood,"{'Year': '1999', 'Month': 'Mar', 'Day': '15'}",,,Likely no free text
1599934,Identification of the bactericidal domain of lactoferrin.,Biochimica et biophysica acta,"{'Year': '1992', 'Month': 'May', 'Day': '22'}",10.1016/0167-4838(92)90346-f,,Likely no free text
10751307,Identification of a fourth subunit of mammalian DNA polymerase delta.,The Journal of biological chemistry,"{'Year': '2000', 'Month': 'Jun', 'Day': '23'}",10.1074/jbc.M001217200,,Likely no free text
11256943,"Organization of uroplakin subunits: transmembrane topology, pair formation and plaque composition.",The Biochemical journal,"{'Year': '2001', 'Month': 'Apr', 'Day': '01'}",10.1042/0264-6021:3550013,PMC1221706,Likely Freely Available
10940388,"Direct association of LIS1, the lissencephaly gene product, with a mammalian homologue of a fungal nuclear distribution protein, rNUDE.",FEBS letters,"{'Year': '2000', 'Month': 'Aug', 'Day': '11'}",10.1016/s0014-5793(00)01856-1,,Likely no free text
7577957,Solution structure of bovine neutrophil beta-defensin-12: the peptide fold of the beta-defensins is identical to that of the classical defensins.,Biochemistry,"{'Year': '1995', 'Month': 'Oct', 'Day': '17'}",10.1021/bi00041a048,,Likely no free text
15375055,Leptin affects prolactin action on milk protein and fat synthesis in the bovine mammary gland.,Journal of dairy science,"{'Year': '2004', 'Month': 'Sep'}",10.3168/jds.S0022-0302(04)73425-6,,Likely no free text
10399917,RAGE mediates a novel proinflammatory axis: a central cell surface receptor for S100/calgranulin polypeptides.,Cell,"{'Year': '1999', 'Month': 'Jun', 'Day': '25'}",10.1016/s0092-8674(00)80801-6,,Likely no free text
7673213,Purification and characterization of platelet-activating factor acetylhydrolase II from bovine liver cytosol.,The Journal of biological chemistry,"{'Year': '1995', 'Month': 'Sep', 'Day': '22'}",10.1074/jbc.270.38.22308,,Likely no free text
10938081,A proteomics approach to the identification of mammalian mitochondrial small subunit ribosomal proteins.,The Journal of biological chemistry,"{'Year': '2000', 'Month': 'Oct', 'Day': '20'}",10.1074/jbc.M003596200,,Likely no free text
8514806,Novel use of an iodo-myristyl-CoA analog identifies a semialdehyde dehydrogenase in bovine liver.,The Journal of biological chemistry,"{'Year': '1993', 'Month': 'Jun', 'Day': '25'}",,,Likely no free text
14993220,Identification of SNAREs involved in synaptotagmin VII-regulated lysosomal exocytosis.,The Journal of biological chemistry,"{'Year': '2004', 'Month': 'May', 'Day': '07'}",10.1074/jbc.M400798200,,Likely no free text
7511411,Nuclear DNA helicase II unwinds both DNA and RNA.,Biochemistry,"{'Year': '1994', 'Month': 'Apr', 'Day': '05'}",10.1021/bi00179a016,,Likely no free text
12743374,The phosphorylation of caveolin-2 on serines 23 and 36 modulates caveolin-1-dependent caveolae formation.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2003', 'Month': 'May', 'Day': '27'}",10.1073/pnas.1031672100,PMC164477,Likely Freely Available
10891266,"Four genes encode acetylcholinesterases in the nematodes Caenorhabditis elegans and Caenorhabditis briggsae. cDNA sequences, genomic structures, mutations and in vivo expression.",Journal of molecular biology,"{'Year': '2000', 'Month': 'Jul', 'Day': '21'}",10.1006/jmbi.2000.3917,,Likely no free text
12438312,Cytosolic aconitase and ferritin are regulated by iron in Caenorhabditis elegans.,The Journal of biological chemistry,"{'Year': '2003', 'Month': 'Jan', 'Day': '31'}",10.1074/jbc.M210333200,,Likely no free text
21256840,C. elegans ADAMTS ADT-2 regulates body size by modulating TGFβ signaling and cuticle collagen organization.,Developmental biology,"{'Year': '2011', 'Month': 'Apr', 'Day': '01'}",10.1016/j.ydbio.2011.01.016,PMC3049821,Likely Freely Available
23665919,Attenuation of insulin signalling contributes to FSN-1-mediated regulation of synapse development.,The EMBO journal,"{'Year': '2013', 'Month': 'Jun', 'Day': '12'}",10.1038/emboj.2013.91,PMC3680742,Likely Freely Available
16950159,The insulin/PI 3-kinase pathway regulates salt chemotaxis learning in Caenorhabditis elegans.,Neuron,"{'Year': '2006', 'Month': 'Sep', 'Day': '07'}",10.1016/j.neuron.2006.07.024,,Likely no free text
10901169,"Molecular genetic analysis of apm-2 and aps-2, genes encoding the medium and small chains of the AP-2 clathrin-associated protein complex in the nematode Caenorhabditis elegans.",Molecules and cells,"{'Year': '2000', 'Month': 'Jun', 'Day': '30'}",,,Likely no free text
17636000,C. elegans Disabled is required for cell-type specific endocytosis and is essential in animals lacking the AP-3 adaptor complex.,Journal of cell science,"{'Year': '2007', 'Month': 'Aug', 'Day': '01'}",10.1242/jcs.03474,,Likely no free text
11410594,Mitochondrial respiratory chain deficiency in Caenorhabditis elegans results in developmental arrest and increased life span.,The Journal of biological chemistry,"{'Year': '2001', 'Month': 'Aug', 'Day': '24'}",10.1074/jbc.M103999200,,Likely no free text
18622031,Complex network of Wnt signaling regulates neuronal migrations during Caenorhabditis elegans development.,Genetics,"{'Year': '2008', 'Month': 'Jul'}",10.1534/genetics.108.090290,PMC2475739,Likely Freely Available
17145765,The Caenorhabditis elegans replication licensing factor CDT-1 is targeted for degradation by the CUL-4/DDB-1 complex.,Molecular and cellular biology,"{'Year': '2007', 'Month': 'Feb'}",10.1128/MCB.00736-06,PMC1800708,Likely Freely Available
16204220,Interactions of UNC-34 Enabled with Rac GTPases and the NIK kinase MIG-15 in Caenorhabditis elegans axon pathfinding and neuronal migration.,Genetics,"{'Year': '2006', 'Month': 'Feb'}",10.1534/genetics.105.046359,PMC1456253,Likely Freely Available
9354393,Caenorhabditis elegans cDNA for a Menkes/Wilson disease gene homologue and its function in a yeast CCC2 gene deletion mutant.,Journal of biochemistry,"{'Year': '1997', 'Month': 'Jun'}",10.1093/oxfordjournals.jbchem.a021711,,Likely no free text
21531333,Asymmetric arginine dimethylation determines life span in C. elegans by regulating forkhead transcription factor DAF-16.,Cell metabolism,"{'Year': '2011', 'Month': 'May', 'Day': '04'}",10.1016/j.cmet.2011.03.017,,Likely no free text
18425118,A pathway for phagosome maturation during engulfment of apoptotic cells.,Nature cell biology,"{'Year': '2008', 'Month': 'May'}",10.1038/ncb1718,PMC2851549,Likely Freely Available
15911573,"EGO-1, a putative RNA-directed RNA polymerase, promotes germline proliferation in parallel with GLP-1/notch signaling and regulates the spatial organization of nuclear pore complexes and germline P granules in Caenorhabditis elegans.",Genetics,"{'Year': '2005', 'Month': 'Jul'}",10.1534/genetics.105.042135,PMC1451164,Likely Freely Available
11972048,Genetic dissection of polyunsaturated fatty acid synthesis in Caenorhabditis elegans.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2002', 'Month': 'Apr', 'Day': '30'}",10.1073/pnas.092064799,PMC122866,Likely Freely Available
16735442,FER-1 regulates Ca2+ -mediated membrane fusion during C. elegans spermatogenesis.,Journal of cell science,"{'Year': '2006', 'Month': 'Jun', 'Day': '15'}",10.1242/jcs.02980,,Likely no free text
11402064,"HCP-4, a CENP-C-like protein in Caenorhabditis elegans, is required for resolution of sister centromeres.",The Journal of cell biology,"{'Year': '2001', 'Month': 'Jun', 'Day': '11'}",10.1083/jcb.153.6.1199,PMC2192019,Likely Freely Available
22938866,The GPS motif is a molecular switch for bimodal activities of adhesion class G protein-coupled receptors.,Cell reports,"{'Year': '2012', 'Month': 'Aug', 'Day': '30'}",10.1016/j.celrep.2012.06.015,PMC3776922,Likely Freely Available
12736204,The C. elegans LIM homeobox gene lin-11 specifies multiple cell fates during vulval development.,"Development (Cambridge, England)","{'Year': '2003', 'Month': 'Jun'}",10.1242/dev.00500,,Likely no free text
27875098,HLH-30/TFEB-mediated autophagy functions in a cell-autonomous manner for epithelium intrinsic cellular defense against bacterial pore-forming toxin in C. elegans.,Autophagy,"{'Year': '2017', 'Month': 'Feb'}",10.1080/15548627.2016.1256933,PMC5324838,Likely Freely Available
6616618,The lin-12 locus specifies cell fates in Caenorhabditis elegans.,Cell,"{'Year': '1983', 'Month': 'Sep'}",10.1016/0092-8674(83)90377-x,,Likely no free text
8293978,Suppressors of a lin-12 hypomorph define genes that interact with both lin-12 and glp-1 in Caenorhabditis elegans.,Genetics,"{'Year': '1993', 'Month': 'Nov'}",10.1093/genetics/135.3.765,PMC1205719,Likely Freely Available
7956818,The Caenorhabditis elegans gene lin-26 is required to specify the fates of hypodermal cells and encodes a presumptive zinc-finger transcription factor.,"Development (Cambridge, England)","{'Year': '1994', 'Month': 'Sep'}",10.1242/dev.120.9.2359,,Likely no free text
17376425,Progression from mitotic catastrophe to germ cell death in Caenorhabditis elegans lis-1 mutants requires the spindle checkpoint.,Developmental biology,"{'Year': '2007', 'Month': 'May', 'Day': '15'}",10.1016/j.ydbio.2007.02.024,PMC2000799,Likely Freely Available
25548171,β-Catenin-related protein WRM-1 is a multifunctional regulatory subunit of the LIT-1 MAPK complex.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2015', 'Month': 'Jan', 'Day': '13'}",10.1073/pnas.1416339112,PMC4299254,Likely Freely Available
15255192,"Metalloproteases with EGF, CUB, and thrombospondin-1 domains function in molting of Caenorhabditis elegans.",Biological chemistry,"{'Year': '2004', 'Month': 'Jun'}",10.1515/BC.2004.069,,Likely no free text
21910973,NHR-23 dependent collagen and hedgehog-related genes required for molting.,Biochemical and biophysical research communications,"{'Year': '2011', 'Month': 'Oct', 'Day': '07'}",10.1016/j.bbrc.2011.08.124,PMC3196369,Likely Freely Available
8382340,Molecular analysis of two genes between let-653 and let-56 in the unc-22(IV) region of Caenorhabditis elegans.,Molecular & general genetics : MGG,"{'Year': '1993', 'Month': 'Jan'}",10.1007/BF00277125,,Likely no free text
12665560,Modeling human peroxisome biogenesis disorders in the nematode Caenorhabditis elegans.,Journal of cell science,"{'Year': '2003', 'Month': 'May', 'Day': '01'}",10.1242/jcs.00380,,Likely no free text
11182085,The SAD-1 kinase regulates presynaptic vesicle clustering and axon termination.,Neuron,"{'Year': '2001', 'Month': 'Jan'}",10.1016/s0896-6273(01)00184-2,,Likely no free text
17673661,Quantitative mass spectrometry identifies insulin signaling targets in C. elegans.,"Science (New York, N.Y.)","{'Year': '2007', 'Month': 'Aug', 'Day': '03'}",10.1126/science.1139952,,Likely no free text
16790495,Caenorhabditis elegans UNC-96 is a new component of M-lines that interacts with UNC-98 and paramyosin and is required in adult muscle for assembly and/or maintenance of thick filaments.,Molecular biology of the cell,"{'Year': '2006', 'Month': 'Sep'}",10.1091/mbc.e06-02-0144,PMC1593161,Likely Freely Available
8798157,Promoter sequences for the establishment of mec-3 expression in the nematode Caenorhabditis elegans.,Mechanisms of development,"{'Year': '1996', 'Month': 'May'}",10.1016/0925-4773(96)00523-0,,Likely no free text
21422230,MKS and NPHP modules cooperate to establish basal body/transition zone membrane associations and ciliary gate function during ciliogenesis.,The Journal of cell biology,"{'Year': '2011', 'Month': 'Mar', 'Day': '21'}",10.1083/jcb.201012116,PMC3063147,Likely Freely Available
23874210,Interplay between structure-specific endonucleases for crossover control during Caenorhabditis elegans meiosis.,PLoS genetics,{'Year': '2013'},10.1371/journal.pgen.1003586,PMC3715419,Likely Freely Available
26365196,A Circuit for Gradient Climbing in C. elegans Chemotaxis.,Cell reports,"{'Year': '2015', 'Month': 'Sep', 'Day': '22'}",10.1016/j.celrep.2015.08.032,PMC5045890,Likely Freely Available
28847365,Luqin-like RYamide peptides regulate food-evoked responses in <i>C. elegans</i>.,eLife,"{'Year': '2017', 'Month': 'Aug', 'Day': '29'}",10.7554/eLife.28877,PMC5576490,Likely Freely Available
25936839,DNA Methylation on N6-Adenine in C. elegans.,Cell,"{'Year': '2015', 'Month': 'May', 'Day': '07'}",10.1016/j.cell.2015.04.005,PMC4427530,Likely Freely Available
17235359,The SM protein VPS-45 is required for RAB-5-dependent endocytic transport in Caenorhabditis elegans.,EMBO reports,"{'Year': '2007', 'Month': 'Feb'}",10.1038/sj.embor.7400882,PMC1796764,Likely Freely Available
21586647,The fungal pathogen Candida albicans autoinduces hyphal morphogenesis by raising extracellular pH.,mBio,{'Year': '2011'},10.1128/mBio.00055-11,PMC3101780,Likely Freely Available
11356840,The essential Smp3 protein is required for addition of the side-branching fourth mannose during assembly of yeast glycosylphosphatidylinositols.,The Journal of biological chemistry,"{'Year': '2001', 'Month': 'Jul', 'Day': '20'}",10.1074/jbc.M101986200,,Likely no free text
21507960,"CgCYN1, a plasma membrane cystine-specific transporter of Candida glabrata with orthologues prevalent among pathogenic yeast and fungi.",The Journal of biological chemistry,"{'Year': '2011', 'Month': 'Jun', 'Day': '03'}",10.1074/jbc.M111.240648,PMC3103350,Likely Freely Available
15273122,Comparison of gene expression profiles of Candida albicans azole-resistant clinical isolates and laboratory strains exposed to drugs inducing multidrug transporters.,Antimicrobial agents and chemotherapy,"{'Year': '2004', 'Month': 'Aug'}",10.1128/AAC.48.8.3064-3079.2004,PMC478486,Likely Freely Available
29199101,Versatility of putative aromatic aminotransferases from Candida albicans.,Fungal genetics and biology : FG & B,"{'Year': '2018', 'Month': 'Jan'}",10.1016/j.fgb.2017.11.009,,Likely no free text
22142782,Arv1 lipid transporter function is conserved between pathogenic and nonpathogenic fungi.,Fungal genetics and biology : FG & B,"{'Year': '2012', 'Month': 'Feb'}",10.1016/j.fgb.2011.11.006,PMC3278566,Likely Freely Available
15976451,Candida albicans hyphae have a Spitzenkörper that is distinct from the polarisome found in yeast and pseudohyphae.,Journal of cell science,"{'Year': '2005', 'Month': 'Jul', 'Day': '01'}",10.1242/jcs.02414,,Likely no free text
