PMID,Title,Journal,Publication Date,DOI,PMC ID,Free Text Availability
23617571,"Comprehensive annotation of secondary metabolite biosynthetic genes and gene clusters of Aspergillus nidulans, A. fumigatus, A. niger and A. oryzae.",BMC microbiology,"{'Year': '2013', 'Month': 'Apr', 'Day': '26'}",10.1186/1471-2180-13-91,PMC3689640,Likely Freely Available
30044771,"Velvet domain protein VosA represses the zinc cluster transcription factor SclB regulatory network for Aspergillus nidulans asexual development, oxidative stress response and secondary metabolism.",PLoS genetics,"{'Year': '2018', 'Month': 'Jul'}",10.1371/journal.pgen.1007511,PMC6078315,Likely Freely Available
14722082,"Fungal ammonia fermentation, a novel metabolic mechanism that couples the dissimilatory and assimilatory pathways of both nitrate and ethanol. Role of acetyl CoA synthetase in anaerobic ATP synthesis.",The Journal of biological chemistry,"{'Year': '2004', 'Month': 'Mar', 'Day': '26'}",10.1074/jbc.M313761200,,Likely no free text
30410052,The HamE scaffold positively regulates MpkB phosphorylation to promote development and secondary metabolism in Aspergillus nidulans.,Scientific reports,"{'Year': '2018', 'Month': 'Nov', 'Day': '08'}",10.1038/s41598-018-34895-6,PMC6224500,Likely Freely Available
21642398,Role of nitric oxide and flavohemoglobin homolog genes in Aspergillus nidulans sexual development and mycotoxin production.,Applied and environmental microbiology,"{'Year': '2011', 'Month': 'Aug'}",10.1128/AEM.00638-11,PMC3147476,Likely Freely Available
24637327,HookA is a novel dynein-early endosome linker critical for cargo movement in vivo.,The Journal of cell biology,"{'Year': '2014', 'Month': 'Mar', 'Day': '17'}",10.1083/jcb.201308009,PMC3998793,Likely Freely Available
28747316,Mitotic nuclear pore complex segregation involves Nup2 in <i>Aspergillus nidulans</i>.,The Journal of cell biology,"{'Year': '2017', 'Month': 'Sep', 'Day': '04'}",10.1083/jcb.201610019,PMC5584150,Likely Freely Available
17339216,Transcriptional control of gluconeogenesis in Aspergillus nidulans.,Genetics,"{'Year': '2007', 'Month': 'May'}",10.1534/genetics.107.070904,PMC1893031,Likely Freely Available
25846564,"Aspergillus nidulans flippase DnfA is cargo of the endocytic collar and plays complementary roles in growth and phosphatidylserine asymmetry with another flippase, DnfB.",Molecular microbiology,"{'Year': '2015', 'Month': 'Jul'}",10.1111/mmi.13019,,Likely no free text
28874473,Revitalization of a Forward Genetic Screen Identifies Three New Regulators of Fungal Secondary Metabolism in the Genus <i>Aspergillus</i>.,mBio,"{'Year': '2017', 'Month': 'Sep', 'Day': '05'}",10.1128/mBio.01246-17,PMC5587912,Likely Freely Available
25644834,Model-driven mapping of transcriptional networks reveals the circuitry and dynamics of virulence regulation.,Genome research,"{'Year': '2015', 'Month': 'May'}",10.1101/gr.184101.114,PMC4417117,Likely Freely Available
30291809,Role of clathrin-mediated endocytosis in the use of heme and hemoglobin by the fungal pathogen Cryptococcus neoformans.,Cellular microbiology,"{'Year': '2019', 'Month': 'Mar'}",10.1111/cmi.12961,PMC6379112,Likely Freely Available
32839469,Genome-wide functional analysis of phosphatases in the pathogenic fungus Cryptococcus neoformans.,Nature communications,"{'Year': '2020', 'Month': 'Aug', 'Day': '24'}",10.1038/s41467-020-18028-0,PMC7445287,Likely Freely Available
8007987,Complementation of a capsule-deficient mutation of Cryptococcus neoformans restores its virulence.,Molecular and cellular biology,"{'Year': '1994', 'Month': 'Jul'}",10.1128/mcb.14.7.4912-4919.1994,PMC358863,Likely Freely Available
16102007,Novel gene functions required for melanization of the human pathogen Cryptococcus neoformans.,Molecular microbiology,"{'Year': '2005', 'Month': 'Sep'}",10.1111/j.1365-2958.2005.04779.x,,Likely no free text
23033470,Role of CTR4 in the Virulence of Cryptococcus neoformans.,mBio,{'Year': '2012'},10.1128/mBio.00285-12,PMC3518914,Likely Freely Available
22174677,Toward an integrated model of capsule regulation in Cryptococcus neoformans.,PLoS pathogens,"{'Year': '2011', 'Month': 'Dec'}",10.1371/journal.ppat.1002411,PMC3234223,Likely Freely Available
25644834,Model-driven mapping of transcriptional networks reveals the circuitry and dynamics of virulence regulation.,Genome research,"{'Year': '2015', 'Month': 'May'}",10.1101/gr.184101.114,PMC4417117,Likely Freely Available
25644834,Model-driven mapping of transcriptional networks reveals the circuitry and dynamics of virulence regulation.,Genome research,"{'Year': '2015', 'Month': 'May'}",10.1101/gr.184101.114,PMC4417117,Likely Freely Available
27094327,Computational Analysis Reveals a Key Regulator of Cryptococcal Virulence and Determinant of Host Response.,mBio,"{'Year': '2016', 'Month': 'Apr', 'Day': '19'}",10.1128/mBio.00313-16,PMC4850258,Likely Freely Available
15155676,The alpha-specific cell identity factor Sxi1alpha is not required for virulence of Cryptococcus neoformans.,Infection and immunity,"{'Year': '2004', 'Month': 'Jun'}",10.1128/IAI.72.6.3643-3645.2004,PMC415721,Likely Freely Available
20889719,The vacuolar Ca²(+) exchanger Vcx1 is involved in calcineurin-dependent Ca²(+) tolerance and virulence in Cryptococcus neoformans.,Eukaryotic cell,"{'Year': '2010', 'Month': 'Nov'}",10.1128/EC.00114-10,PMC2976299,Likely Freely Available
25758923,Functional analysis of the Fusarium graminearum phosphatome.,The New phytologist,"{'Year': '2015', 'Month': 'Jul'}",10.1111/nph.13374,,Likely no free text
25333987,The Fusarium graminearum genome reveals more secondary metabolite gene clusters and hints of horizontal gene transfer.,PloS one,{'Year': '2014'},10.1371/journal.pone.0110311,PMC4198257,Likely Freely Available
28296081,Functional characterization of cytochrome P450 monooxygenases in the cereal head blight fungus Fusarium graminearum.,Environmental microbiology,"{'Year': '2017', 'Month': 'May'}",10.1111/1462-2920.13730,,Likely no free text
28287158,Structural reorganization of the fungal endoplasmic reticulum upon induction of mycotoxin biosynthesis.,Scientific reports,"{'Year': '2017', 'Month': 'Mar', 'Day': '13'}",10.1038/srep44296,PMC5347122,Likely Freely Available
26524547,Genome-Wide Analysis of Small Secreted Cysteine-Rich Proteins Identifies Candidate Effector Proteins Potentially Involved in Fusarium graminearum-Wheat Interactions.,Phytopathology,"{'Year': '2016', 'Month': 'Feb'}",10.1094/PHYTO-09-15-0215-R,,Likely no free text
22028654,"A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum.",PLoS pathogens,"{'Year': '2011', 'Month': 'Oct'}",10.1371/journal.ppat.1002310,PMC3197617,Likely Freely Available
22216007,Functional analysis of the kinome of the wheat scab fungus Fusarium graminearum.,PLoS pathogens,"{'Year': '2011', 'Month': 'Dec'}",10.1371/journal.ppat.1002460,PMC3245316,Likely Freely Available
23945004,"The ATF/CREB transcription factor Atf1 is essential for full virulence, deoxynivalenol production, and stress tolerance in the cereal pathogen Fusarium graminearum.",Molecular plant-microbe interactions : MPMI,"{'Year': '2013', 'Month': 'Dec'}",10.1094/MPMI-04-13-0125-R,,Likely no free text
25040476,"FgSKN7 and FgATF1 have overlapping functions in ascosporogenesis, pathogenesis and stress responses in Fusarium graminearum.",Environmental microbiology,"{'Year': '2015', 'Month': 'Apr'}",10.1111/1462-2920.12561,,Likely no free text
24349499,The bZIP transcription factor Fgap1 mediates oxidative stress response and trichothecene biosynthesis but not virulence in Fusarium graminearum.,PloS one,{'Year': '2013'},10.1371/journal.pone.0083377,PMC3861502,Likely Freely Available
25299517,Systematic analysis of Zn2Cys6 transcription factors required for development and pathogenicity by high-throughput gene knockout in the rice blast fungus.,PLoS pathogens,"{'Year': '2014', 'Month': 'Oct'}",10.1371/journal.ppat.1004432,PMC4192604,Likely Freely Available
17427815,Mirl is highly upregulated and localized to nuclei during infectious hyphal growth in the rice blast fungus.,Molecular plant-microbe interactions : MPMI,"{'Year': '2007', 'Month': 'Apr'}",10.1094/MPMI-20-4-0448,,Likely no free text
17324274,The evolutionary history of cytochrome P450 genes in four filamentous Ascomycetes.,BMC evolutionary biology,"{'Year': '2007', 'Month': 'Feb', 'Day': '26'}",10.1186/1471-2148-7-30,PMC1828051,Likely Freely Available
16645096,Autophagic fungal cell death is necessary for infection by the rice blast fungus.,"Science (New York, N.Y.)","{'Year': '2006', 'Month': 'Apr', 'Day': '28'}",10.1126/science.1124550,,Likely no free text
21383978,The bZIP transcription factor MoAP1 mediates the oxidative stress response and is critical for pathogenicity of the rice blast fungus Magnaporthe oryzae.,PLoS pathogens,"{'Year': '2011', 'Month': 'Feb'}",10.1371/journal.ppat.1001302,PMC3044703,Likely Freely Available
25314920,"Systematic characterization of the bZIP transcription factor gene family in the rice blast fungus, Magnaporthe oryzae.",Environmental microbiology,"{'Year': '2015', 'Month': 'Apr'}",10.1111/1462-2920.12633,,Likely no free text
9770551,Inactivation of the mitogen-activated protein kinase Mps1 from the rice blast fungus prevents penetration of host cells but allows activation of plant defense responses.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '1998', 'Month': 'Oct', 'Day': '13'}",10.1073/pnas.95.21.12713,PMC22896,Likely Freely Available
25901357,GATA-Dependent Glutaminolysis Drives Appressorium Formation in Magnaporthe oryzae by Suppressing TOR Inhibition of cAMP/PKA Signaling.,PLoS pathogens,"{'Year': '2015', 'Month': 'Apr'}",10.1371/journal.ppat.1004851,PMC4406744,Likely Freely Available
9927411,An ATP-driven efflux pump is a novel pathogenicity factor in rice blast disease.,The EMBO journal,"{'Year': '1999', 'Month': 'Feb', 'Day': '01'}",10.1093/emboj/18.3.512,PMC1171144,Likely Freely Available
10939262,Insertion of the LINE retrotransposon MGL causes a conidiophore pattern mutation in Magnaporthe grisea.,Molecular plant-microbe interactions : MPMI,"{'Year': '2000', 'Month': 'Aug'}",10.1094/MPMI.2000.13.8.892,,Likely no free text
9742203,Acropetal: a genetic locus required for conidiophore architecture and pathogenicity in the rice blast fungus.,Fungal genetics and biology : FG & B,"{'Year': '1998', 'Season': 'Jun-Jul'}",10.1006/fgbi.1998.1053,,Likely no free text
34155201,Composition and stage dynamics of mitochondrial complexes in Plasmodium falciparum.,Nature communications,"{'Year': '2021', 'Month': 'Jun', 'Day': '21'}",10.1038/s41467-021-23919-x,PMC8217502,Likely Freely Available
27594426,A Genome-wide CRISPR Screen in Toxoplasma Identifies Essential Apicomplexan Genes.,Cell,"{'Year': '2016', 'Month': 'Sep', 'Day': '08'}",10.1016/j.cell.2016.08.019,PMC5017925,Likely Freely Available
31390575,Landscape of the Plasmodium Interactome Reveals Both Conserved and Species-Specific Functionality.,Cell reports,"{'Year': '2019', 'Month': 'Aug', 'Day': '06'}",10.1016/j.celrep.2019.07.019,PMC6693557,Likely Freely Available
35038916,A Phosphoinositide-Binding Protein Acts in the Trafficking Pathway of Hemoglobin in the Malaria Parasite Plasmodium falciparum.,mBio,"{'Year': '2022', 'Month': 'Feb', 'Day': '22'}",10.1128/mbio.03239-21,PMC8764524,Likely Freely Available
25802338,"The Plasmodium Class XIV Myosin, MyoB, Has a Distinct Subcellular Location in Invasive and Motile Stages of the Malaria Parasite and an Unusual Light Chain.",The Journal of biological chemistry,"{'Year': '2015', 'Month': 'May', 'Day': '08'}",10.1074/jbc.M115.637694,PMC4424349,Likely Freely Available
20807207,The MYST family histone acetyltransferase regulates gene expression and cell cycle in malaria parasite Plasmodium falciparum.,Molecular microbiology,"{'Year': '2010', 'Month': 'Nov'}",10.1111/j.1365-2958.2010.07371.x,PMC2978264,Likely Freely Available
34956312,Absence of PEXEL-Dependent Protein Export in <i>Plasmodium</i> Liver Stages Cannot Be Restored by Gain of the HSP101 Protein Translocon ATPase.,Frontiers in genetics,{'Year': '2021'},10.3389/fgene.2021.742153,PMC8693896,Likely Freely Available
36877739,Structure and function of Plasmodium actin II in the parasite mosquito stages.,PLoS pathogens,"{'Year': '2023', 'Month': 'Mar'}",10.1371/journal.ppat.1011174,PMC10019781,Likely Freely Available
19428669,Localisation and timing of expression of putative Plasmodium berghei rhoptry proteins in merozoites and sporozoites.,Molecular and biochemical parasitology,"{'Year': '2009', 'Month': 'Jul'}",10.1016/j.molbiopara.2009.02.009,,Likely no free text
35623558,"Defining ER-mitochondria contact dynamics in Plasmodium falciparum by targeting component of phospholipid synthesis pathway, phosphatidylserine synthase (PfPSS).",Mitochondrion,"{'Year': '2022', 'Month': 'Jul'}",10.1016/j.mito.2022.05.005,,Likely no free text
23181666,Organellar proteomics reveals hundreds of novel nuclear proteins in the malaria parasite Plasmodium falciparum.,Genome biology,"{'Year': '2012', 'Month': 'Nov', 'Day': '26'}",10.1186/gb-2012-13-11-r108,PMC4053738,Likely Freely Available
35083215,"PfAP2-EXP2, an Essential Transcription Factor for the Intraerythrocytic Development of <i>Plasmodium falciparum</i>.",Frontiers in cell and developmental biology,{'Year': '2021'},10.3389/fcell.2021.782293,PMC8785209,Likely Freely Available
24086138,The suf iron-sulfur cluster synthesis pathway is required for apicoplast maintenance in malaria parasites.,PLoS pathogens,{'Year': '2013'},10.1371/journal.ppat.1003655,PMC3784473,Likely Freely Available
20169188,Universal features of post-transcriptional gene regulation are critical for Plasmodium zygote development.,PLoS pathogens,"{'Year': '2010', 'Month': 'Feb', 'Day': '12'}",10.1371/journal.ppat.1000767,PMC2820534,Likely Freely Available
36403748,Plasmodium 6-cysteine proteins determine the commitment of sporozoites to liver-infection.,Parasitology international,"{'Year': '2023', 'Month': 'Apr'}",10.1016/j.parint.2022.102700,,Likely no free text
30703164,Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex.,PLoS pathogens,"{'Year': '2019', 'Month': 'Jan'}",10.1371/journal.ppat.1007164,PMC6355032,Likely Freely Available
28618269,Red Blood Cell Invasion by the Malaria Parasite Is Coordinated by the PfAP2-I Transcription Factor.,Cell host & microbe,"{'Year': '2017', 'Month': 'Jun', 'Day': '14'}",10.1016/j.chom.2017.05.006,PMC5855115,Likely Freely Available
33997710,The ApiAP2 factor PfAP2-HC is an integral component of heterochromatin in the malaria parasite <i>Plasmodium falciparum</i>.,iScience,"{'Year': '2021', 'Month': 'May', 'Day': '21'}",10.1016/j.isci.2021.102444,PMC8105651,Likely Freely Available
36006241,Composition and organization of kinetochores show plasticity in apicomplexan chromosome segregation.,The Journal of cell biology,"{'Year': '2022', 'Month': 'Sep', 'Day': '05'}",10.1083/jcb.202111084,PMC9418836,Likely Freely Available
35301756,A conserved Plasmodium structural integrity maintenance protein (SIMP) is associated with sporozoite membrane and is essential for maintaining shape and infectivity.,Molecular microbiology,"{'Year': '2022', 'Month': 'Jun'}",10.1111/mmi.14894,,Likely no free text
28288121,A genetic system to study Plasmodium falciparum protein function.,Nature methods,"{'Year': '2017', 'Month': 'Apr'}",10.1038/nmeth.4223,,Likely no free text
28376558,"PfAP2Tel, harbouring a non-canonical DNA-binding AP2 domain, binds to Plasmodium falciparum telomeres.",Cellular microbiology,"{'Year': '2017', 'Month': 'Sep'}",10.1111/cmi.12742,,Likely no free text
35257658,Critical role for isoprenoids in apicoplast biogenesis by malaria parasites.,eLife,"{'Year': '2022', 'Month': 'Mar', 'Day': '08'}",10.7554/eLife.73208,PMC8959605,Likely Freely Available
28759593,Proteogenomic analysis of the total and surface-exposed proteomes of Plasmodium vivax salivary gland sporozoites.,PLoS neglected tropical diseases,"{'Year': '2017', 'Month': 'Jul'}",10.1371/journal.pntd.0005791,PMC5552340,Likely Freely Available
34604117,Roles and Cellular Localization of GBP2 and NAB2 During the Blood Stage of Malaria Parasites.,Frontiers in cellular and infection microbiology,{'Year': '2021'},10.3389/fcimb.2021.737457,PMC8479154,Likely Freely Available
19765590,Potential epigenetic regulatory proteins localise to distinct nuclear sub-compartments in Plasmodium falciparum.,International journal for parasitology,"{'Year': '2010', 'Month': 'Jan'}",10.1016/j.ijpara.2009.09.002,,Likely no free text
23437009,Discovery of a splicing regulator required for cell cycle progression.,PLoS genetics,{'Year': '2013'},10.1371/journal.pgen.1003305,PMC3578776,Likely Freely Available
36162149,Mitochondrial Spermidine Synthase is Essential for Blood-stage growth of the Malaria Parasite.,Microbiological research,"{'Year': '2022', 'Month': 'Dec'}",10.1016/j.micres.2022.127181,,Likely no free text
26292257,Discovery of Novel Plasmodium falciparum Pre-Erythrocytic Antigens for Vaccine Development.,PloS one,{'Year': '2015'},10.1371/journal.pone.0136109,PMC4546230,Likely Freely Available
20037583,Transcriptional profiling of growth perturbations of the human malaria parasite Plasmodium falciparum.,Nature biotechnology,"{'Year': '2010', 'Month': 'Jan'}",10.1038/nbt.1597,,Likely no free text
34780541,A conserved guided entry of tail-anchored pathway is involved in the trafficking of a subset of membrane proteins in Plasmodium falciparum.,PLoS pathogens,"{'Year': '2021', 'Month': 'Nov'}",10.1371/journal.ppat.1009595,PMC8629386,Likely Freely Available
35995671,A C2 domain containing plasma membrane protein of Plasmodium falciparum merozoites mediates calcium-dependent binding and invasion to host erythrocytes.,"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi","{'Year': '2023', 'Month': 'Feb'}",10.1016/j.jmii.2022.07.008,,Likely no free text
28604779,"Lys48 ubiquitination during the intraerythrocytic cycle of the rodent malaria parasite, Plasmodium chabaudi.",PloS one,{'Year': '2017'},10.1371/journal.pone.0176533,PMC5467854,Likely Freely Available
20439460,"PfNT2, a permease of the equilibrative nucleoside transporter family in the endoplasmic reticulum of Plasmodium falciparum.",The Journal of biological chemistry,"{'Year': '2010', 'Month': 'Jul', 'Day': '02'}",10.1074/jbc.M110.118489,PMC2898299,Likely Freely Available
35404079,A G-Protein-Coupled Receptor Modulates Gametogenesis via PKG-Mediated Signaling Cascade in Plasmodium berghei.,Microbiology spectrum,"{'Year': '2022', 'Month': 'Apr', 'Day': '27'}",10.1128/spectrum.00150-22,PMC9045217,Likely Freely Available
27381095,The mRNA-bound proteome of the human malaria parasite Plasmodium falciparum.,Genome biology,"{'Year': '2016', 'Month': 'Jul', 'Day': '05'}",10.1186/s13059-016-1014-0,PMC4933991,Likely Freely Available
21060817,Identification and genome-wide prediction of DNA binding specificities for the ApiAP2 family of regulators from the malaria parasite.,PLoS pathogens,"{'Year': '2010', 'Month': 'Oct', 'Day': '28'}",10.1371/journal.ppat.1001165,PMC2965767,Likely Freely Available
35140336,Cell biological analysis reveals an essential role for Pfcerli2 in erythrocyte invasion by malaria parasites.,Communications biology,"{'Year': '2022', 'Month': 'Feb', 'Day': '09'}",10.1038/s42003-022-03020-9,PMC8828742,Likely Freely Available
29642957,Characterization of mitochondrion-targeted GTPases in Plasmodium falciparum.,Parasitology,"{'Year': '2018', 'Month': 'Oct'}",10.1017/S0031182018000501,,Likely no free text
32975363,An apicoplast-resident folate transporter is essential for sporogony of malaria parasites.,Cellular microbiology,"{'Year': '2021', 'Month': 'Jan'}",10.1111/cmi.13266,PMC7616068,Likely Freely Available
35626703,The <i>Plasmodium falciparum</i> CCCH Zinc Finger Protein ZNF4 Plays an Important Role in Gametocyte Exflagellation through the Regulation of Male Enriched Transcripts.,Cells,"{'Year': '2022', 'Month': 'May', 'Day': '17'}",10.3390/cells11101666,PMC9139750,Likely Freely Available
9267031,TRAP is necessary for gliding motility and infectivity of plasmodium sporozoites.,Cell,"{'Year': '1997', 'Month': 'Aug', 'Day': '08'}",10.1016/s0092-8674(00)80511-5,,Likely no free text
34289894,"Role of Plasmodium berghei ookinete surface and oocyst capsule protein, a novel oocyst capsule-associated protein, in ookinete motility.",Parasites & vectors,"{'Year': '2021', 'Month': 'Jul', 'Day': '21'}",10.1186/s13071-021-04868-2,PMC8296654,Likely Freely Available
16051382,Functional expression of the gene encoding cytidine triphosphate synthetase from Plasmodium falciparum which contains two novel sequences that are potential antimalarial targets.,Molecular and biochemical parasitology,"{'Year': '2005', 'Month': 'Oct'}",10.1016/j.molbiopara.2005.06.004,,Likely no free text
31772212,Functional annotation of serine hydrolases in the asexual erythrocytic stage of Plasmodium falciparum.,Scientific reports,"{'Year': '2019', 'Month': 'Nov', 'Day': '26'}",10.1038/s41598-019-54009-0,PMC6879560,Likely Freely Available
7935618,Cellular location and temporal expression of the Plasmodium falciparum sexual stage antigen Pfs16.,Molecular and biochemical parasitology,"{'Year': '1994', 'Month': 'May'}",10.1016/0166-6851(94)90111-2,,Likely no free text
34494883,A Prioritized and Validated Resource of Mitochondrial Proteins in <i>Plasmodium</i> Identifies Unique Biology.,mSphere,"{'Year': '2021', 'Month': 'Oct', 'Day': '27'}",10.1128/mSphere.00614-21,PMC8550323,Likely Freely Available
22144892,A systematic screen to discover and analyze apicoplast proteins identifies a conserved and essential protein import factor.,PLoS pathogens,"{'Year': '2011', 'Month': 'Dec'}",10.1371/journal.ppat.1002392,PMC3228799,Likely Freely Available
34832620,"Artemisinin Binds and Inhibits the Activity of <i>Plasmodium falciparum</i> Ddi1, a Retroviral Aspartyl Protease.","Pathogens (Basel, Switzerland)","{'Year': '2021', 'Month': 'Nov', 'Day': '11'}",10.3390/pathogens10111465,PMC8621276,Likely Freely Available
19165333,Rab11A-controlled assembly of the inner membrane complex is required for completion of apicomplexan cytokinesis.,PLoS pathogens,"{'Year': '2009', 'Month': 'Jan'}",10.1371/journal.ppat.1000270,PMC2622761,Likely Freely Available
16879648,Structural and biochemical characterization of a mitochondrial peroxiredoxin from Plasmodium falciparum.,Molecular microbiology,"{'Year': '2006', 'Month': 'Aug'}",10.1111/j.1365-2958.2006.05303.x,PMC1618809,Likely Freely Available
8479460,"Cloning and expression of the gene for Plasmodium falciparum transmission-blocking target antigen, Pfs230.",Molecular and biochemical parasitology,"{'Year': '1993', 'Month': 'Apr'}",10.1016/0166-6851(93)90058-6,,Likely no free text
25615740,"New Export Pathway in Plasmodium falciparum-Infected Erythrocytes: Role of the Parasite Group II Chaperonin, PfTRiC.","Traffic (Copenhagen, Denmark)","{'Year': '2015', 'Month': 'May'}",10.1111/tra.12266,,Likely no free text
30133543,A seven-helix protein constitutes stress granules crucial for regulating translation during human-to-mosquito transmission of Plasmodium falciparum.,PLoS pathogens,"{'Year': '2018', 'Month': 'Aug'}",10.1371/journal.ppat.1007249,PMC6122839,Likely Freely Available
35427579,Disrupting a Plasmodium berghei putative phospholipase impairs efficient egress of merosomes.,International journal for parasitology,"{'Year': '2022', 'Month': 'Jul'}",10.1016/j.ijpara.2022.03.002,,Likely no free text
3887156,Isolation of a Plasmodium falciparum rhoptry protein.,Molecular and biochemical parasitology,"{'Year': '1985', 'Month': 'Mar'}",10.1016/0166-6851(85)90057-x,,Likely no free text
21205898,Validation of isoleucine utilization targets in Plasmodium falciparum.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2011', 'Month': 'Jan', 'Day': '25'}",10.1073/pnas.1011560108,PMC3029723,Likely Freely Available
31951090,NAD(P) transhydrogenase has vital non-mitochondrial functions in malaria parasite transmission.,EMBO reports,"{'Year': '2020', 'Month': 'Mar', 'Day': '04'}",10.15252/embr.201947832,PMC7054674,Likely Freely Available
36006241,Composition and organization of kinetochores show plasticity in apicomplexan chromosome segregation.,The Journal of cell biology,"{'Year': '2022', 'Month': 'Sep', 'Day': '05'}",10.1083/jcb.202111084,PMC9418836,Likely Freely Available
24841368,Identifying novel cell cycle proteins in Apicomplexa parasites through co-expression decision analysis.,PloS one,{'Year': '2014'},10.1371/journal.pone.0097625,PMC4026381,Likely Freely Available
25640905,"Toxoplasma gondii Vps11, a subunit of HOPS and CORVET tethering complexes, is essential for the biogenesis of secretory organelles.",Cellular microbiology,"{'Year': '2015', 'Month': 'Aug'}",10.1111/cmi.12426,,Likely no free text
35277503,Functional genomics of RAP proteins and their role in mitoribosome regulation in Plasmodium falciparum.,Nature communications,"{'Year': '2022', 'Month': 'Mar', 'Day': '11'}",10.1038/s41467-022-28981-7,PMC8917122,Likely Freely Available
16468982,"CelTOS, a novel malarial protein that mediates transmission to mosquito and vertebrate hosts.",Molecular microbiology,"{'Year': '2006', 'Month': 'Mar'}",10.1111/j.1365-2958.2005.05024.x,,Likely no free text
20887733,The Clp chaperones and proteases of the human malaria parasite Plasmodium falciparum.,Journal of molecular biology,"{'Year': '2010', 'Month': 'Dec', 'Day': '03'}",10.1016/j.jmb.2010.09.051,,Likely no free text
15591202,Targeting malaria virulence and remodeling proteins to the host erythrocyte.,"Science (New York, N.Y.)","{'Year': '2004', 'Month': 'Dec', 'Day': '10'}",10.1126/science.1102452,,Likely no free text
38261617,Complement receptor 1 is the human erythrocyte receptor for <i>Plasmodium vivax</i> erythrocyte binding protein.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2024', 'Month': 'Jan', 'Day': '30'}",10.1073/pnas.2316304121,PMC10835065,Likely Freely Available
26946524,Polypeptide release factors and stop codon recognition in the apicoplast and mitochondrion of Plasmodium falciparum.,Molecular microbiology,"{'Year': '2016', 'Month': 'Jun'}",10.1111/mmi.13369,,Likely no free text
38465236,Characterization of merozoite-specific thrombospondin-related anonymous protein (MTRAP) in <i>Plasmodium vivax</i> and <i>P. knowlesi</i> parasites.,Frontiers in cellular and infection microbiology,{'Year': '2024'},10.3389/fcimb.2024.1354880,PMC10920329,Likely Freely Available
20571080,Single-stranded DNA binding protein from human malarial parasite Plasmodium falciparum is encoded in the nucleus and targeted to the apicoplast.,Nucleic acids research,"{'Year': '2010', 'Month': 'Nov'}",10.1093/nar/gkq565,PMC2978346,Likely Freely Available
28419631,"TgPL2, a patatin-like phospholipase domain-containing protein, is involved in the maintenance of apicoplast lipids homeostasis in Toxoplasma.",Molecular microbiology,"{'Year': '2017', 'Month': 'Jul'}",10.1111/mmi.13694,,Likely no free text
34612205,Divergent acyl carrier protein decouples mitochondrial Fe-S cluster biogenesis from fatty acid synthesis in malaria parasites.,eLife,"{'Year': '2021', 'Month': 'Oct', 'Day': '06'}",10.7554/eLife.71636,PMC8547962,Likely Freely Available
